Response_ID,Submitted_DateTime,WO_No,Machine_ID,Cell_ID,Checklist_ID,Item_No,Check_Point,Result,Measured_Value,Observation,Photo_Link,Action_Taken,Tech_ID,Follow_Up_Required,Follow_Up_WO
CR-90159,2025-10-27T10:10:00,WO-1007,MC-07-027,CELL-07,CL-TEST,4,Earthing of test bench,NOT OK,41.5,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-07-027_4.jpg,Adjusted and re-verified,TECH-02,Yes,
CR-90160,2025-10-27T10:10:00,WO-1007,MC-07-027,CELL-07,CL-TEST,5,Interlock and guard function,OK,,Within standard,,No action,TECH-02,No,
CR-90161,2025-11-13T08:27:00,WO-1009,MC-01-001,CELL-01,CL-PRESS,1,Slide / ram guideway lubrication,OK,,Within standard,,No action,TECH-03,No,
CR-90162,2025-11-13T08:27:00,WO-1009,MC-01-001,CELL-01,CL-PRESS,2,Clutch & brake air pressure,OK,5.4,Within standard,,No action,TECH-03,No,
CR-90163,2025-11-13T08:27:00,WO-1009,MC-01-001,CELL-01,CL-PRESS,3,Die clamping bolt torque,OK,1.2,Within standard,,No action,TECH-03,No,
CR-90164,2025-11-13T08:27:00,WO-1009,MC-01-001,CELL-01,CL-PRESS,4,Safety light curtain function,OK,,Within standard,,No action,TECH-03,No,
CR-90165,2025-11-13T08:27:00,WO-1009,MC-01-001,CELL-01,CL-PRESS,5,Flywheel bearing temperature,OK,27.6,Within standard,,No action,TECH-03,No,
CR-90166,2025-11-13T08:27:00,WO-1009,MC-01-001,CELL-01,CL-PRESS,6,Oil level in gearbox,OK,,Within standard,,No action,TECH-03,No,
CR-90167,2025-11-13T08:27:00,WO-1009,MC-01-001,CELL-01,CL-PRESS,7,Air line FRL water drain,OK,,Within standard,,No action,TECH-03,No,
CR-90168,2025-11-13T08:27:00,WO-1009,MC-01-001,CELL-01,CL-PRESS,8,Emergency stop function,OK,,Within standard,,No action,TECH-03,No,
CR-90169,2025-11-13T09:42:00,WO-1009,MC-01-002,CELL-01,CL-FEED,1,Feed roller wear,OK,,Within standard,,No action,TECH-05,No,
CR-90170,2025-11-13T09:42:00,WO-1009,MC-01-002,CELL-01,CL-FEED,2,Servo backlash check,OK,17.7,Within standard,,No action,TECH-05,No,
CR-90171,2025-11-13T09:42:00,WO-1009,MC-01-002,CELL-01,CL-FEED,3,Strip guide alignment,OK,51.7,Within standard,,No action,TECH-05,No,
CR-90172,2025-11-13T09:42:00,WO-1009,MC-01-002,CELL-01,CL-FEED,4,Lubrication unit level,OK,,Within standard,,No action,TECH-05,No,
CR-90173,2025-11-13T10:47:00,WO-1009,MC-01-003,CELL-01,CL-GEN,1,General cleanliness and 5S,OK,,Within standard,,No action,TECH-01,No,
CR-90174,2025-11-13T10:47:00,WO-1009,MC-01-003,CELL-01,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-01,No,
CR-90175,2025-11-13T10:47:00,WO-1009,MC-01-003,CELL-01,CL-GEN,3,Guard and interlock function,OK,,Within standard,,No action,TECH-01,No,
CR-90176,2025-11-13T10:47:00,WO-1009,MC-01-003,CELL-01,CL-GEN,4,Lubrication as per chart,OK,,Within standard,,No action,TECH-01,No,
CR-90177,2025-11-13T10:47:00,WO-1009,MC-01-003,CELL-01,CL-GEN,5,Electrical panel inspection,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-01-003_5.jpg,Adjusted and re-verified,TECH-01,No,
CR-90178,2025-11-13T10:47:00,WO-1009,MC-01-003,CELL-01,CL-GEN,6,Abnormal noise / vibration,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-01-003_6.jpg,Adjusted and re-verified,TECH-01,No,
CR-90179,2025-11-13T11:51:00,WO-1009,MC-01-004,CELL-01,CL-GEN,1,General cleanliness and 5S,OK,,Within standard,,No action,TECH-04,No,
CR-90180,2025-11-13T11:51:00,WO-1009,MC-01-004,CELL-01,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-04,No,
CR-90181,2025-11-13T11:51:00,WO-1009,MC-01-004,CELL-01,CL-GEN,3,Guard and interlock function,OK,,Within standard,,No action,TECH-04,No,
CR-90182,2025-11-13T11:51:00,WO-1009,MC-01-004,CELL-01,CL-GEN,4,Lubrication as per chart,OK,,Within standard,,No action,TECH-04,No,
CR-90183,2025-11-13T11:51:00,WO-1009,MC-01-004,CELL-01,CL-GEN,5,Electrical panel inspection,OK,,Within standard,,No action,TECH-04,No,
CR-90184,2025-11-13T11:51:00,WO-1009,MC-01-004,CELL-01,CL-GEN,6,Abnormal noise / vibration,OK,,Within standard,,No action,TECH-04,No,
CR-90185,2025-11-17T09:23:00,WO-1010,MC-02-005,CELL-02,CL-WELD,1,Electrode tip dressing condition,OK,,Within standard,,No action,TECH-06,No,
CR-90186,2025-11-17T09:23:00,WO-1010,MC-02-005,CELL-02,CL-WELD,2,Weld current calibration,OK,32.9,Within standard,,No action,TECH-06,No,
CR-90187,2025-11-17T09:23:00,WO-1010,MC-02-005,CELL-02,CL-WELD,3,Cooling water flow rate,OK,26.8,Within standard,,No action,TECH-06,No,
CR-90188,2025-11-17T09:23:00,WO-1010,MC-02-005,CELL-02,CL-WELD,4,Transformer terminal tightness,OK,,Within standard,,No action,TECH-06,No,
CR-90189,2025-11-17T09:23:00,WO-1010,MC-02-005,CELL-02,CL-WELD,5,Pneumatic cylinder leak check,OK,,Within standard,,No action,TECH-06,No,
CR-90190,2025-11-17T09:23:00,WO-1010,MC-02-005,CELL-02,CL-WELD,6,Earth continuity,OK,36.3,Within standard,,No action,TECH-06,No,
CR-90191,2025-11-17T10:03:00,WO-1010,MC-02-006,CELL-02,CL-GEN,1,General cleanliness and 5S,OK,,Within standard,,No action,TECH-04,No,
CR-90192,2025-11-17T10:03:00,WO-1010,MC-02-006,CELL-02,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-04,No,
CR-90193,2025-11-17T10:03:00,WO-1010,MC-02-006,CELL-02,CL-GEN,3,Guard and interlock function,OK,,Within standard,,No action,TECH-04,No,
CR-90194,2025-11-17T10:03:00,WO-1010,MC-02-006,CELL-02,CL-GEN,4,Lubrication as per chart,OK,,Within standard,,No action,TECH-04,No,
CR-90195,2025-11-17T10:03:00,WO-1010,MC-02-006,CELL-02,CL-GEN,5,Electrical panel inspection,OK,,Within standard,,No action,TECH-04,No,
CR-90196,2025-11-17T10:03:00,WO-1010,MC-02-006,CELL-02,CL-GEN,6,Abnormal noise / vibration,OK,,Within standard,,No action,TECH-04,No,
CR-90197,2025-11-17T12:05:00,WO-1010,MC-02-007,CELL-02,CL-GEN,1,General cleanliness and 5S,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-02-007_1.jpg,Adjusted and re-verified,TECH-02,No,
CR-90198,2025-11-17T12:05:00,WO-1010,MC-02-007,CELL-02,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-02,No,
CR-90199,2025-11-17T12:05:00,WO-1010,MC-02-007,CELL-02,CL-GEN,3,Guard and interlock function,OK,,Within standard,,No action,TECH-02,No,
CR-90200,2025-11-17T12:05:00,WO-1010,MC-02-007,CELL-02,CL-GEN,4,Lubrication as per chart,OK,,Within standard,,No action,TECH-02,No,
CR-90201,2025-11-17T12:05:00,WO-1010,MC-02-007,CELL-02,CL-GEN,5,Electrical panel inspection,OK,,Within standard,,No action,TECH-02,No,
CR-90202,2025-11-17T12:05:00,WO-1010,MC-02-007,CELL-02,CL-GEN,6,Abnormal noise / vibration,OK,,Within standard,,No action,TECH-02,No,
CR-90203,2025-11-17T12:05:00,WO-1010,MC-02-008,CELL-02,CL-VISION,1,Camera lens cleanliness,OK,,Within standard,,No action,TECH-06,No,
CR-90204,2025-11-17T12:05:00,WO-1010,MC-02-008,CELL-02,CL-VISION,2,Lighting intensity,OK,28.8,Within standard,,No action,TECH-06,No,
CR-90205,2025-11-17T12:05:00,WO-1010,MC-02-008,CELL-02,CL-VISION,3,Reject gate actuation,OK,,Within standard,,No action,TECH-06,No,
CR-90206,2025-11-17T12:05:00,WO-1010,MC-02-008,CELL-02,CL-VISION,4,Master sample pass/fail check,OK,,Within standard,,No action,TECH-06,No,
CR-90207,2025-12-06T08:09:00,WO-1012,MC-04-013,CELL-04,CL-FILL,1,Vibrator motor mounting bolts,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-04-013_1.jpg,Adjusted and re-verified,TECH-03,No,
CR-90208,2025-12-06T08:09:00,WO-1012,MC-04-013,CELL-04,CL-FILL,2,Sand hopper level sensor,OK,,Within standard,,No action,TECH-03,No,
CR-90209,2025-12-06T08:09:00,WO-1012,MC-04-013,CELL-04,CL-FILL,3,Filling nozzle wear,OK,4.2,Within standard,,No action,TECH-03,No,
CR-90210,2025-12-06T08:09:00,WO-1012,MC-04-013,CELL-04,CL-FILL,4,Compaction cycle time,OK,31.6,Within standard,,No action,TECH-03,No,
CR-90211,2025-12-06T08:09:00,WO-1012,MC-04-013,CELL-04,CL-FILL,5,Dust extraction suction,NOT OK,37.7,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-04-013_5.jpg,Adjusted and re-verified,TECH-03,No,
CR-90212,2025-12-06T08:09:00,WO-1012,MC-04-013,CELL-04,CL-FILL,6,Conveyor belt tracking,OK,,Within standard,,No action,TECH-03,No,
CR-90213,2025-12-06T08:09:00,WO-1012,MC-04-013,CELL-04,CL-FILL,7,PLC battery status,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-04-013_7.jpg,Adjusted and re-verified,TECH-03,No,
CR-90214,2025-12-06T09:22:00,WO-1012,MC-04-014,CELL-04,CL-FILL,1,Vibrator motor mounting bolts,OK,,Within standard,,No action,TECH-01,No,
CR-90215,2025-12-06T09:22:00,WO-1012,MC-04-014,CELL-04,CL-FILL,2,Sand hopper level sensor,OK,,Within standard,,No action,TECH-01,No,
CR-90216,2025-12-06T09:22:00,WO-1012,MC-04-014,CELL-04,CL-FILL,3,Filling nozzle wear,OK,26.8,Within standard,,No action,TECH-01,No,
CR-90217,2025-12-06T09:22:00,WO-1012,MC-04-014,CELL-04,CL-FILL,4,Compaction cycle time,OK,42.2,Within standard,,No action,TECH-01,No,
CR-90218,2025-12-06T09:22:00,WO-1012,MC-04-014,CELL-04,CL-FILL,5,Dust extraction suction,OK,8.2,Within standard,,No action,TECH-01,No,
CR-90219,2025-12-06T09:22:00,WO-1012,MC-04-014,CELL-04,CL-FILL,6,Conveyor belt tracking,OK,,Within standard,,No action,TECH-01,No,
CR-90220,2025-12-06T09:22:00,WO-1012,MC-04-014,CELL-04,CL-FILL,7,PLC battery status,OK,,Within standard,,No action,TECH-01,No,
CR-90221,2025-12-06T11:55:00,WO-1012,MC-04-015,CELL-04,CL-OVEN,1,Door gasket condition,OK,,Within standard,,No action,TECH-06,No,
CR-90222,2025-12-06T11:55:00,WO-1012,MC-04-015,CELL-04,CL-OVEN,2,Steam trap operation,OK,,Within standard,,No action,TECH-06,No,
CR-90223,2025-12-06T11:55:00,WO-1012,MC-04-015,CELL-04,CL-OVEN,3,Temperature sensor calibration,OK,33.5,Within standard,,No action,TECH-06,No,
CR-90224,2025-12-06T11:55:00,WO-1012,MC-04-015,CELL-04,CL-OVEN,4,Safety relief valve test,OK,,Within standard,,No action,TECH-06,No,
CR-90225,2025-12-06T11:55:00,WO-1012,MC-04-015,CELL-04,CL-OVEN,5,Insulation surface temperature,OK,33.6,Within standard,,No action,TECH-06,No,
CR-90226,2025-12-06T11:55:00,WO-1012,MC-04-015,CELL-04,CL-OVEN,6,Condensate drain line,OK,,Within standard,,No action,TECH-06,No,
CR-90227,2025-12-06T12:36:00,WO-1012,MC-04-016,CELL-04,CL-UTIL,1,Motor current draw,NOT OK,30.4,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-04-016_1.jpg,Adjusted and re-verified,TECH-01,No,
CR-90228,2025-12-06T12:36:00,WO-1012,MC-04-016,CELL-04,CL-UTIL,2,Vibration level at bearing,NOT OK,31,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-04-016_2.jpg,Adjusted and re-verified,TECH-01,Yes,
CR-90229,2025-12-06T12:36:00,WO-1012,MC-04-016,CELL-04,CL-UTIL,3,Coupling / belt condition,OK,,Within standard,,No action,TECH-01,No,
CR-90230,2025-12-06T12:36:00,WO-1012,MC-04-016,CELL-04,CL-UTIL,4,Panel cleanliness and glands,OK,,Within standard,,No action,TECH-01,No,
CR-90231,2025-12-06T12:36:00,WO-1012,MC-04-016,CELL-04,CL-UTIL,5,Leak check on all joints,OK,,Within standard,,No action,TECH-01,No,
CR-90232,2025-12-13T09:36:00,WO-1013,MC-05-017,CELL-05,CL-OVEN,1,Door gasket condition,OK,,Within standard,,No action,TECH-04,No,
CR-90233,2025-12-13T09:36:00,WO-1013,MC-05-017,CELL-05,CL-OVEN,2,Steam trap operation,OK,,Within standard,,No action,TECH-04,No,
CR-90234,2025-12-13T09:36:00,WO-1013,MC-05-017,CELL-05,CL-OVEN,3,Temperature sensor calibration,OK,17.7,Within standard,,No action,TECH-04,No,
CR-90235,2025-12-13T09:36:00,WO-1013,MC-05-017,CELL-05,CL-OVEN,4,Safety relief valve test,OK,,Within standard,,No action,TECH-04,No,
CR-90236,2025-12-13T09:36:00,WO-1013,MC-05-017,CELL-05,CL-OVEN,5,Insulation surface temperature,OK,18.6,Within standard,,No action,TECH-04,No,
CR-90237,2025-12-13T09:36:00,WO-1013,MC-05-017,CELL-05,CL-OVEN,6,Condensate drain line,OK,,Within standard,,No action,TECH-04,No,
CR-90238,2025-12-13T10:36:00,WO-1013,MC-05-018,CELL-05,CL-OVEN,1,Door gasket condition,OK,,Within standard,,No action,TECH-05,No,
CR-90239,2025-12-13T10:36:00,WO-1013,MC-05-018,CELL-05,CL-OVEN,2,Steam trap operation,OK,,Within standard,,No action,TECH-05,No,
CR-90240,2025-12-13T10:36:00,WO-1013,MC-05-018,CELL-05,CL-OVEN,3,Temperature sensor calibration,OK,32.8,Within standard,,No action,TECH-05,No,
CR-90241,2025-12-13T10:36:00,WO-1013,MC-05-018,CELL-05,CL-OVEN,4,Safety relief valve test,OK,,Within standard,,No action,TECH-05,No,
CR-90242,2025-12-13T10:36:00,WO-1013,MC-05-018,CELL-05,CL-OVEN,5,Insulation surface temperature,OK,21.4,Within standard,,No action,TECH-05,No,
CR-90243,2025-12-13T10:36:00,WO-1013,MC-05-018,CELL-05,CL-OVEN,6,Condensate drain line,OK,,Within standard,,No action,TECH-05,No,
CR-90244,2025-12-13T11:32:00,WO-1013,MC-05-019,CELL-05,CL-UTIL,1,Motor current draw,OK,52.3,Within standard,,No action,TECH-05,No,
CR-90245,2025-12-13T11:32:00,WO-1013,MC-05-019,CELL-05,CL-UTIL,2,Vibration level at bearing,OK,58.9,Within standard,,No action,TECH-05,No,
CR-90246,2025-12-13T11:32:00,WO-1013,MC-05-019,CELL-05,CL-UTIL,3,Coupling / belt condition,OK,,Within standard,,No action,TECH-05,No,
CR-90247,2025-12-13T11:32:00,WO-1013,MC-05-019,CELL-05,CL-UTIL,4,Panel cleanliness and glands,OK,,Within standard,,No action,TECH-05,No,
CR-90248,2025-12-13T11:32:00,WO-1013,MC-05-019,CELL-05,CL-UTIL,5,Leak check on all joints,OK,,Within standard,,No action,TECH-05,No,
CR-90249,2025-12-13T12:00:00,WO-1013,MC-05-020,CELL-05,CL-UTIL,1,Motor current draw,OK,3.6,Within standard,,No action,TECH-02,No,
CR-90250,2025-12-13T12:00:00,WO-1013,MC-05-020,CELL-05,CL-UTIL,2,Vibration level at bearing,OK,44.9,Within standard,,No action,TECH-02,No,
CR-90251,2025-12-13T12:00:00,WO-1013,MC-05-020,CELL-05,CL-UTIL,3,Coupling / belt condition,OK,,Within standard,,No action,TECH-02,No,
CR-90252,2025-12-13T12:00:00,WO-1013,MC-05-020,CELL-05,CL-UTIL,4,Panel cleanliness and glands,OK,,Within standard,,No action,TECH-02,No,
CR-90253,2025-12-13T12:00:00,WO-1013,MC-05-020,CELL-05,CL-UTIL,5,Leak check on all joints,OK,,Within standard,,No action,TECH-02,No,
CR-90254,2025-12-30T08:26:00,WO-1015,MC-07-025,CELL-07,CL-TEST,1,Calibration validity,OK,,Within standard,,No action,TECH-04,No,
CR-90255,2025-12-30T08:26:00,WO-1015,MC-07-025,CELL-07,CL-TEST,2,Test lead / probe condition,OK,,Within standard,,No action,TECH-04,No,
CR-90256,2025-12-30T08:26:00,WO-1015,MC-07-025,CELL-07,CL-TEST,3,Reference standard verification,OK,23.4,Within standard,,No action,TECH-04,No,
CR-90257,2025-12-30T08:26:00,WO-1015,MC-07-025,CELL-07,CL-TEST,4,Earthing of test bench,OK,19.7,Within standard,,No action,TECH-04,No,
CR-90258,2025-12-30T08:26:00,WO-1015,MC-07-025,CELL-07,CL-TEST,5,Interlock and guard function,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-07-025_5.jpg,Adjusted and re-verified,TECH-04,No,
CR-90259,2025-12-30T09:13:00,WO-1015,MC-07-026,CELL-07,CL-TEST,1,Calibration validity,OK,,Within standard,,No action,TECH-04,No,
CR-90260,2025-12-30T09:13:00,WO-1015,MC-07-026,CELL-07,CL-TEST,2,Test lead / probe condition,OK,,Within standard,,No action,TECH-04,No,
CR-90261,2025-12-30T09:13:00,WO-1015,MC-07-026,CELL-07,CL-TEST,3,Reference standard verification,OK,41.4,Within standard,,No action,TECH-04,No,
CR-90262,2025-12-30T09:13:00,WO-1015,MC-07-026,CELL-07,CL-TEST,4,Earthing of test bench,OK,18,Within standard,,No action,TECH-04,No,
CR-90263,2025-12-30T09:13:00,WO-1015,MC-07-026,CELL-07,CL-TEST,5,Interlock and guard function,OK,,Within standard,,No action,TECH-04,No,
CR-90264,2025-12-30T10:33:00,WO-1015,MC-07-027,CELL-07,CL-TEST,1,Calibration validity,OK,,Within standard,,No action,TECH-02,No,
CR-90265,2025-12-30T10:33:00,WO-1015,MC-07-027,CELL-07,CL-TEST,2,Test lead / probe condition,OK,,Within standard,,No action,TECH-02,No,
CR-90266,2025-12-30T10:33:00,WO-1015,MC-07-027,CELL-07,CL-TEST,3,Reference standard verification,OK,38.4,Within standard,,No action,TECH-02,No,
CR-90267,2025-12-30T10:33:00,WO-1015,MC-07-027,CELL-07,CL-TEST,4,Earthing of test bench,OK,52.5,Within standard,,No action,TECH-02,No,
CR-90268,2025-12-30T10:33:00,WO-1015,MC-07-027,CELL-07,CL-TEST,5,Interlock and guard function,OK,,Within standard,,No action,TECH-02,No,
CR-90269,2026-01-01T09:59:00,WO-1016,MC-08-028,CELL-08,CL-GEN,1,General cleanliness and 5S,OK,,Within standard,,No action,TECH-05,No,
CR-90270,2026-01-01T09:59:00,WO-1016,MC-08-028,CELL-08,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-05,No,
CR-90271,2026-01-01T09:59:00,WO-1016,MC-08-028,CELL-08,CL-GEN,3,Guard and interlock function,OK,,Within standard,,No action,TECH-05,No,
CR-90272,2026-01-01T09:59:00,WO-1016,MC-08-028,CELL-08,CL-GEN,4,Lubrication as per chart,OK,,Within standard,,No action,TECH-05,No,
CR-90273,2026-01-01T09:59:00,WO-1016,MC-08-028,CELL-08,CL-GEN,5,Electrical panel inspection,OK,,Within standard,,No action,TECH-05,No,
CR-90274,2026-01-01T09:59:00,WO-1016,MC-08-028,CELL-08,CL-GEN,6,Abnormal noise / vibration,OK,,Within standard,,No action,TECH-05,No,
CR-90275,2026-01-01T10:18:00,WO-1016,MC-08-029,CELL-08,CL-GEN,1,General cleanliness and 5S,OK,,Within standard,,No action,TECH-05,No,
CR-90276,2026-01-01T10:18:00,WO-1016,MC-08-029,CELL-08,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-05,No,
CR-90277,2026-01-01T10:18:00,WO-1016,MC-08-029,CELL-08,CL-GEN,3,Guard and interlock function,OK,,Within standard,,No action,TECH-05,No,
CR-90278,2026-01-01T10:18:00,WO-1016,MC-08-029,CELL-08,CL-GEN,4,Lubrication as per chart,OK,,Within standard,,No action,TECH-05,No,
CR-90279,2026-01-01T10:18:00,WO-1016,MC-08-029,CELL-08,CL-GEN,5,Electrical panel inspection,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-08-029_5.jpg,Adjusted and re-verified,TECH-05,Yes,
CR-90280,2026-01-01T10:18:00,WO-1016,MC-08-029,CELL-08,CL-GEN,6,Abnormal noise / vibration,OK,,Within standard,,No action,TECH-05,No,
CR-90281,2026-01-01T10:47:00,WO-1016,MC-08-030,CELL-08,CL-GEN,1,General cleanliness and 5S,OK,,Within standard,,No action,TECH-04,No,
CR-90282,2026-01-01T10:47:00,WO-1016,MC-08-030,CELL-08,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-04,No,
CR-90283,2026-01-01T10:47:00,WO-1016,MC-08-030,CELL-08,CL-GEN,3,Guard and interlock function,OK,,Within standard,,No action,TECH-04,No,
CR-90284,2026-01-01T10:47:00,WO-1016,MC-08-030,CELL-08,CL-GEN,4,Lubrication as per chart,OK,,Within standard,,No action,TECH-04,No,
CR-90285,2026-01-01T10:47:00,WO-1016,MC-08-030,CELL-08,CL-GEN,5,Electrical panel inspection,OK,,Within standard,,No action,TECH-04,No,
CR-90286,2026-01-01T10:47:00,WO-1016,MC-08-030,CELL-08,CL-GEN,6,Abnormal noise / vibration,OK,,Within standard,,No action,TECH-04,No,
CR-90287,2026-01-09T08:49:00,WO-1017,MC-01-001,CELL-01,CL-PRESS,1,Slide / ram guideway lubrication,OK,,Within standard,,No action,TECH-06,No,
CR-90288,2026-01-09T08:49:00,WO-1017,MC-01-001,CELL-01,CL-PRESS,2,Clutch & brake air pressure,OK,51.3,Within standard,,No action,TECH-06,No,
CR-90289,2026-01-09T08:49:00,WO-1017,MC-01-001,CELL-01,CL-PRESS,3,Die clamping bolt torque,OK,7.3,Within standard,,No action,TECH-06,No,
CR-90290,2026-01-09T08:49:00,WO-1017,MC-01-001,CELL-01,CL-PRESS,4,Safety light curtain function,OK,,Within standard,,No action,TECH-06,No,
CR-90291,2026-01-09T08:49:00,WO-1017,MC-01-001,CELL-01,CL-PRESS,5,Flywheel bearing temperature,OK,23.5,Within standard,,No action,TECH-06,No,
CR-90292,2026-01-09T08:49:00,WO-1017,MC-01-001,CELL-01,CL-PRESS,6,Oil level in gearbox,OK,,Within standard,,No action,TECH-06,No,
CR-90293,2026-01-09T08:49:00,WO-1017,MC-01-001,CELL-01,CL-PRESS,7,Air line FRL water drain,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-01-001_7.jpg,Adjusted and re-verified,TECH-06,Yes,
CR-90294,2026-01-09T08:49:00,WO-1017,MC-01-001,CELL-01,CL-PRESS,8,Emergency stop function,OK,,Within standard,,No action,TECH-06,No,
CR-90295,2026-01-09T09:56:00,WO-1017,MC-01-002,CELL-01,CL-FEED,1,Feed roller wear,OK,,Within standard,,No action,TECH-03,No,
CR-90296,2026-01-09T09:56:00,WO-1017,MC-01-002,CELL-01,CL-FEED,2,Servo backlash check,OK,24.4,Within standard,,No action,TECH-03,No,
CR-90297,2026-01-09T09:56:00,WO-1017,MC-01-002,CELL-01,CL-FEED,3,Strip guide alignment,OK,1.5,Within standard,,No action,TECH-03,No,
CR-90298,2026-01-09T09:56:00,WO-1017,MC-01-002,CELL-01,CL-FEED,4,Lubrication unit level,OK,,Within standard,,No action,TECH-03,No,
CR-90299,2026-01-09T11:59:00,WO-1017,MC-01-003,CELL-01,CL-GEN,1,General cleanliness and 5S,OK,,Within standard,,No action,TECH-06,No,
CR-90300,2026-01-09T11:59:00,WO-1017,MC-01-003,CELL-01,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-06,No,
CR-90301,2026-01-09T11:59:00,WO-1017,MC-01-003,CELL-01,CL-GEN,3,Guard and interlock function,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-01-003_3.jpg,Adjusted and re-verified,TECH-06,No,
CR-90302,2026-01-09T11:59:00,WO-1017,MC-01-003,CELL-01,CL-GEN,4,Lubrication as per chart,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-01-003_4.jpg,Adjusted and re-verified,TECH-06,Yes,
CR-90303,2026-01-09T11:59:00,WO-1017,MC-01-003,CELL-01,CL-GEN,5,Electrical panel inspection,OK,,Within standard,,No action,TECH-06,No,
CR-90304,2026-01-09T11:59:00,WO-1017,MC-01-003,CELL-01,CL-GEN,6,Abnormal noise / vibration,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-01-003_6.jpg,Adjusted and re-verified,TECH-06,No,
CR-90305,2026-01-09T11:39:00,WO-1017,MC-01-004,CELL-01,CL-GEN,1,General cleanliness and 5S,OK,,Within standard,,No action,TECH-02,No,
CR-90306,2026-01-09T11:39:00,WO-1017,MC-01-004,CELL-01,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-02,No,
CR-90307,2026-01-09T11:39:00,WO-1017,MC-01-004,CELL-01,CL-GEN,3,Guard and interlock function,OK,,Within standard,,No action,TECH-02,No,
CR-90308,2026-01-09T11:39:00,WO-1017,MC-01-004,CELL-01,CL-GEN,4,Lubrication as per chart,OK,,Within standard,,No action,TECH-02,No,
CR-90309,2026-01-09T11:39:00,WO-1017,MC-01-004,CELL-01,CL-GEN,5,Electrical panel inspection,OK,,Within standard,,No action,TECH-02,No,
CR-90310,2026-01-09T11:39:00,WO-1017,MC-01-004,CELL-01,CL-GEN,6,Abnormal noise / vibration,OK,,Within standard,,No action,TECH-02,No,
CR-90311,2026-01-19T08:58:00,WO-1018,MC-02-005,CELL-02,CL-WELD,1,Electrode tip dressing condition,OK,,Within standard,,No action,TECH-01,No,
CR-90312,2026-01-19T08:58:00,WO-1018,MC-02-005,CELL-02,CL-WELD,2,Weld current calibration,OK,20.3,Within standard,,No action,TECH-01,No,
CR-90313,2026-01-19T08:58:00,WO-1018,MC-02-005,CELL-02,CL-WELD,3,Cooling water flow rate,NOT OK,25.5,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-02-005_3.jpg,Adjusted and re-verified,TECH-01,Yes,
CR-90314,2026-01-19T08:58:00,WO-1018,MC-02-005,CELL-02,CL-WELD,4,Transformer terminal tightness,OK,,Within standard,,No action,TECH-01,No,
CR-90315,2026-01-19T08:58:00,WO-1018,MC-02-005,CELL-02,CL-WELD,5,Pneumatic cylinder leak check,OK,,Within standard,,No action,TECH-01,No,
CR-90316,2026-01-19T08:58:00,WO-1018,MC-02-005,CELL-02,CL-WELD,6,Earth continuity,OK,47.4,Within standard,,No action,TECH-01,No,
CR-90317,2026-01-19T10:12:00,WO-1018,MC-02-006,CELL-02,CL-GEN,1,General cleanliness and 5S,OK,,Within standard,,No action,TECH-03,No,
CR-90318,2026-01-19T10:12:00,WO-1018,MC-02-006,CELL-02,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-03,No,
