Scan_ID,Scan_DateTime,Machine_ID,Cell_ID,Tech_ID,Scan_Action,Device,WO_No,Comments
SCN-70255,2026-06-07T09:07:00,MC-05-019,CELL-05,TECH-01,Start PM,Android,WO-1037,
SCN-70256,2026-06-07T10:48:00,MC-05-019,CELL-05,TECH-01,Complete PM,Android,WO-1037,
SCN-70257,2026-06-07T10:33:00,MC-05-020,CELL-05,TECH-03,Start PM,Android,WO-1037,
SCN-70258,2026-06-07T13:02:00,MC-05-020,CELL-05,TECH-03,Complete PM,Android,WO-1037,
SCN-70259,2026-06-20T07:38:00,MC-06-021,CELL-06,TECH-06,Start PM,Android,WO-1038,
SCN-70260,2026-06-20T08:56:00,MC-06-021,CELL-06,TECH-06,Complete PM,Android,WO-1038,
SCN-70261,2026-06-20T08:49:00,MC-06-022,CELL-06,TECH-06,Start PM,Android,WO-1038,
SCN-70262,2026-06-20T10:37:00,MC-06-022,CELL-06,TECH-06,Complete PM,Android,WO-1038,
SCN-70263,2026-06-20T09:34:00,MC-06-023,CELL-06,TECH-06,Start PM,Android,WO-1038,
SCN-70264,2026-06-20T10:46:00,MC-06-023,CELL-06,TECH-06,Complete PM,Android,WO-1038,
SCN-70265,2026-06-20T10:43:00,MC-06-024,CELL-06,TECH-02,Start PM,Android,WO-1038,
SCN-70266,2026-06-20T12:09:00,MC-06-024,CELL-06,TECH-02,Complete PM,Android,WO-1038,
SCN-70267,2026-06-22T07:35:00,MC-07-025,CELL-07,TECH-05,Start PM,Android,WO-1039,
SCN-70268,2026-06-22T08:23:00,MC-07-025,CELL-07,TECH-05,Complete PM,Android,WO-1039,
SCN-70269,2026-06-22T08:03:00,MC-07-026,CELL-07,TECH-01,Start PM,Android,WO-1039,
SCN-70270,2026-06-22T09:15:00,MC-07-026,CELL-07,TECH-01,Complete PM,Android,WO-1039,
SCN-70271,2026-06-22T09:20:00,MC-07-027,CELL-07,TECH-06,Start PM,Android,WO-1039,
SCN-70272,2026-06-22T10:19:00,MC-07-027,CELL-07,TECH-06,Complete PM,Android,WO-1039,
SCN-70273,2026-06-28T07:43:00,MC-08-028,CELL-08,TECH-06,Start PM,Android,WO-1040,
SCN-70274,2026-06-28T09:18:00,MC-08-028,CELL-08,TECH-06,Complete PM,Android,WO-1040,
SCN-70275,2026-06-28T08:27:00,MC-08-029,CELL-08,TECH-01,Start PM,Android,WO-1040,
SCN-70276,2026-06-28T09:19:00,MC-08-029,CELL-08,TECH-01,Complete PM,Android,WO-1040,
SCN-70277,2026-06-28T09:03:00,MC-08-030,CELL-08,TECH-04,Start PM,Android,WO-1040,
SCN-70278,2026-06-28T10:50:00,MC-08-030,CELL-08,TECH-04,Complete PM,Android,WO-1040,
SCN-70279,2026-07-07T07:35:00,MC-01-001,CELL-01,TECH-03,Start PM,Android,WO-1041,
SCN-70280,2026-07-07T08:56:00,MC-01-001,CELL-01,TECH-03,Complete PM,Android,WO-1041,
SCN-70281,2026-07-07T08:33:00,MC-01-002,CELL-01,TECH-04,Start PM,Android,WO-1041,
SCN-70282,2026-07-07T10:06:00,MC-01-002,CELL-01,TECH-04,Complete PM,Android,WO-1041,
SCN-70283,2026-07-07T09:10:00,MC-01-003,CELL-01,TECH-03,Start PM,Android,WO-1041,
SCN-70284,2026-07-07T10:35:00,MC-01-003,CELL-01,TECH-03,Complete PM,Android,WO-1041,
SCN-70285,2026-07-07T10:19:00,MC-01-004,CELL-01,TECH-05,Start PM,Android,WO-1041,
SCN-70286,2026-07-07T11:54:00,MC-01-004,CELL-01,TECH-05,Complete PM,Android,WO-1041,
SCN-70287,2026-07-10T07:10:00,MC-02-005,CELL-02,TECH-04,Start PM,Android,WO-1042,
SCN-70288,2026-07-10T08:52:00,MC-02-005,CELL-02,TECH-04,Complete PM,Android,WO-1042,
SCN-70289,2026-07-10T08:36:00,MC-02-006,CELL-02,TECH-01,Start PM,Android,WO-1042,
SCN-70290,2026-07-10T10:40:00,MC-02-006,CELL-02,TECH-01,Complete PM,Android,WO-1042,
SCN-70291,2026-07-10T09:26:00,MC-02-007,CELL-02,TECH-03,Start PM,Android,WO-1042,
SCN-70292,2026-07-10T10:20:00,MC-02-007,CELL-02,TECH-03,Complete PM,Android,WO-1042,
SCN-70293,2026-07-10T10:49:00,MC-02-008,CELL-02,TECH-05,Start PM,Android,WO-1042,
SCN-70294,2026-07-10T12:42:00,MC-02-008,CELL-02,TECH-05,Complete PM,Android,WO-1042,
SCN-70295,2026-07-24T07:43:00,MC-03-009,CELL-03,TECH-06,Start PM,Android,WO-1043,
SCN-70296,2026-07-24T09:40:00,MC-03-009,CELL-03,TECH-06,Complete PM,Android,WO-1043,
SCN-70297,2026-07-24T08:49:00,MC-03-010,CELL-03,TECH-03,Start PM,Android,WO-1043,
SCN-70298,2026-07-24T10:00:00,MC-03-010,CELL-03,TECH-03,Complete PM,Android,WO-1043,
SCN-70299,2026-07-24T09:35:00,MC-03-011,CELL-03,TECH-03,Start PM,Android,WO-1043,
SCN-70300,2026-07-24T11:51:00,MC-03-011,CELL-03,TECH-03,Complete PM,Android,WO-1043,
SCN-70301,2026-07-24T10:18:00,MC-03-012,CELL-03,TECH-02,Start PM,Android,WO-1043,
SCN-70302,2026-07-24T10:58:00,MC-03-012,CELL-03,TECH-02,Complete PM,Android,WO-1043,
SCN-70303,2026-07-30T07:15:00,MC-04-013,CELL-04,TECH-05,Start PM,Android,WO-1044,
SCN-70304,2026-07-30T08:21:00,MC-04-013,CELL-04,TECH-05,Complete PM,Android,WO-1044,
SCN-70305,2026-07-30T08:45:00,MC-04-014,CELL-04,TECH-03,Start PM,Android,WO-1044,
SCN-70306,2026-07-30T10:20:00,MC-04-014,CELL-04,TECH-03,Complete PM,Android,WO-1044,
SCN-70307,2026-07-30T09:41:00,MC-04-015,CELL-04,TECH-04,Start PM,Android,WO-1044,
SCN-70308,2026-07-30T12:08:00,MC-04-015,CELL-04,TECH-04,Complete PM,Android,WO-1044,
SCN-70309,2026-07-30T10:49:00,MC-04-016,CELL-04,TECH-01,Start PM,Android,WO-1044,
SCN-70310,2026-07-30T11:35:00,MC-04-016,CELL-04,TECH-01,Complete PM,Android,WO-1044,
SCN-70311,2026-08-02T07:18:00,MC-05-017,CELL-05,TECH-03,Start PM,Android,WO-1045,
SCN-70312,2026-08-02T08:51:00,MC-05-017,CELL-05,TECH-03,Complete PM,Android,WO-1045,
SCN-70313,2026-08-02T08:11:00,MC-05-018,CELL-05,TECH-06,Start PM,Android,WO-1045,
SCN-70314,2026-08-02T08:47:00,MC-05-018,CELL-05,TECH-06,Complete PM,Android,WO-1045,
SCN-70315,2026-08-02T09:25:00,MC-05-019,CELL-05,TECH-06,Start PM,Android,WO-1045,
SCN-70316,2026-08-02T11:45:00,MC-05-019,CELL-05,TECH-06,Complete PM,Android,WO-1045,
SCN-70317,2026-08-02T10:30:00,MC-05-020,CELL-05,TECH-02,Start PM,Android,WO-1045,
SCN-70318,2026-08-02T11:46:00,MC-05-020,CELL-05,TECH-02,Complete PM,Android,WO-1045,
SCN-70319,2026-08-09T07:45:00,MC-06-021,CELL-06,TECH-05,Start PM,Android,WO-1046,
SCN-70320,2026-08-09T09:58:00,MC-06-021,CELL-06,TECH-05,Complete PM,Android,WO-1046,
SCN-70321,2026-08-09T08:23:00,MC-06-022,CELL-06,TECH-03,Start PM,Android,WO-1046,
SCN-70322,2026-08-09T10:16:00,MC-06-022,CELL-06,TECH-03,Complete PM,Android,WO-1046,
SCN-70323,2026-08-09T09:26:00,MC-06-023,CELL-06,TECH-03,Start PM,Android,WO-1046,
SCN-70324,2026-08-09T11:30:00,MC-06-023,CELL-06,TECH-03,Complete PM,Android,WO-1046,
SCN-70325,2026-08-09T10:42:00,MC-06-024,CELL-06,TECH-05,Start PM,Android,WO-1046,
SCN-70326,2026-08-09T13:02:00,MC-06-024,CELL-06,TECH-05,Complete PM,Android,WO-1046,
SCN-70327,2026-08-08T07:07:00,MC-05-017,CELL-05,TECH-05,Start PM,Android,WO-1047,
SCN-70328,2026-08-08T07:49:00,MC-05-017,CELL-05,TECH-05,Complete PM,Android,WO-1047,
SCN-70329,2026-08-08T08:33:00,MC-05-018,CELL-05,TECH-03,Start PM,Android,WO-1047,
SCN-70330,2026-08-08T10:04:00,MC-05-018,CELL-05,TECH-03,Complete PM,Android,WO-1047,
SCN-70331,2026-08-21T07:35:00,MC-02-005,CELL-02,TECH-01,Start PM,Android,WO-1048,
SCN-70332,2026-08-21T09:09:00,MC-02-005,CELL-02,TECH-01,Complete PM,Android,WO-1048,
SCN-70333,2026-08-28T07:34:00,MC-06-021,CELL-06,TECH-06,Start PM,Android,WO-1051,
SCN-70334,2026-08-28T08:26:00,MC-06-021,CELL-06,TECH-06,Complete PM,Android,WO-1051,
SCN-70335,2026-08-28T08:34:00,MC-06-022,CELL-06,TECH-02,Start PM,Android,WO-1051,
SCN-70336,2026-08-28T09:59:00,MC-06-022,CELL-06,TECH-02,Complete PM,Android,WO-1051,
