Task_ID,WO_No,Machine_ID,Cell_ID,Assigned_Tech_ID,Task_Status,Scan_Start_Time,Scan_End_Time,Duration_Min,Checklist_Response_ID,NOT_OK_Count,Abnormality_Raised,Spare_Used_Flag,Completed_By,Completion_Date,Skip_Reason
TSK-5156,WO-1042,MC-02-006,CELL-02,TECH-01,Completed,2026-07-10T08:36:00,2026-07-10T10:40:00,124,CR-90851,0,No,Yes,TECH-01,2026-07-10,
TSK-5157,WO-1042,MC-02-007,CELL-02,TECH-03,Completed,2026-07-10T09:26:00,2026-07-10T10:20:00,54,CR-90857,0,No,Yes,TECH-03,2026-07-10,
TSK-5158,WO-1042,MC-02-008,CELL-02,TECH-05,Completed,2026-07-10T10:49:00,2026-07-10T12:42:00,113,CR-90863,2,Yes,No,TECH-05,2026-07-10,
TSK-5159,WO-1043,MC-03-009,CELL-03,TECH-06,Completed,2026-07-24T07:43:00,2026-07-24T09:40:00,117,CR-90867,1,No,Yes,TECH-06,2026-07-24,
TSK-5160,WO-1043,MC-03-010,CELL-03,TECH-03,Completed,2026-07-24T08:49:00,2026-07-24T10:00:00,71,CR-90875,1,No,No,TECH-03,2026-07-24,
TSK-5161,WO-1043,MC-03-011,CELL-03,TECH-03,Completed,2026-07-24T09:35:00,2026-07-24T11:51:00,136,CR-90881,1,No,Yes,TECH-03,2026-07-24,
TSK-5162,WO-1043,MC-03-012,CELL-03,TECH-02,Completed,2026-07-24T10:18:00,2026-07-24T10:58:00,40,CR-90889,0,No,No,TECH-02,2026-07-24,
TSK-5163,WO-1044,MC-04-013,CELL-04,TECH-05,Completed,2026-07-30T07:15:00,2026-07-30T08:21:00,66,CR-90894,0,No,No,TECH-05,2026-07-30,
TSK-5164,WO-1044,MC-04-014,CELL-04,TECH-03,Completed,2026-07-30T08:45:00,2026-07-30T10:20:00,95,CR-90901,0,No,No,TECH-03,2026-07-30,
TSK-5165,WO-1044,MC-04-015,CELL-04,TECH-04,Completed,2026-07-30T09:41:00,2026-07-30T12:08:00,147,CR-90908,1,No,No,TECH-04,2026-07-30,
TSK-5166,WO-1044,MC-04-016,CELL-04,TECH-01,Completed,2026-07-30T10:49:00,2026-07-30T11:35:00,46,CR-90914,1,No,Yes,TECH-01,2026-07-30,
TSK-5167,WO-1045,MC-05-017,CELL-05,TECH-03,Completed,2026-08-02T07:18:00,2026-08-02T08:51:00,93,CR-90919,3,Yes,No,TECH-03,2026-08-02,
TSK-5168,WO-1045,MC-05-018,CELL-05,TECH-06,Completed,2026-08-02T08:11:00,2026-08-02T08:47:00,36,CR-90925,1,No,No,TECH-06,2026-08-02,
TSK-5169,WO-1045,MC-05-019,CELL-05,TECH-06,Completed,2026-08-02T09:25:00,2026-08-02T11:45:00,140,CR-90931,0,No,No,TECH-06,2026-08-02,
TSK-5170,WO-1045,MC-05-020,CELL-05,TECH-02,Completed,2026-08-02T10:30:00,2026-08-02T11:46:00,76,CR-90936,2,Yes,Yes,TECH-02,2026-08-02,
TSK-5171,WO-1046,MC-06-021,CELL-06,TECH-05,Completed,2026-08-09T07:45:00,2026-08-09T09:58:00,133,CR-90941,0,No,Yes,TECH-05,2026-08-09,
TSK-5172,WO-1046,MC-06-022,CELL-06,TECH-03,Completed,2026-08-09T08:23:00,2026-08-09T10:16:00,113,CR-90947,0,No,No,TECH-03,2026-08-09,
TSK-5173,WO-1046,MC-06-023,CELL-06,TECH-03,Completed,2026-08-09T09:26:00,2026-08-09T11:30:00,124,CR-90955,0,No,No,TECH-03,2026-08-09,
TSK-5174,WO-1046,MC-06-024,CELL-06,TECH-05,Completed,2026-08-09T10:42:00,2026-08-09T13:02:00,140,CR-90961,0,No,Yes,TECH-05,2026-08-09,
TSK-5175,WO-1047,MC-05-017,CELL-05,TECH-05,Completed,2026-08-08T07:07:00,2026-08-08T07:49:00,42,CR-90966,0,No,No,TECH-05,2026-08-08,
TSK-5176,WO-1047,MC-05-018,CELL-05,TECH-03,Completed,2026-08-08T08:33:00,2026-08-08T10:04:00,91,CR-90972,0,No,No,TECH-03,2026-08-08,
TSK-5177,WO-1047,MC-05-019,CELL-05,TECH-04,In Progress,2026-08-08T09:05:00,,,,0,No,No,,,
TSK-5178,WO-1047,MC-05-020,CELL-05,TECH-05,Pending,2026-08-08T10:28:00,,,,0,No,No,,,
TSK-5179,WO-1048,MC-02-005,CELL-02,TECH-01,Completed,2026-08-21T07:35:00,2026-08-21T09:09:00,94,CR-90978,1,No,No,TECH-01,2026-08-21,
TSK-5180,WO-1048,MC-02-006,CELL-02,TECH-02,In Progress,2026-08-21T08:37:00,,,,0,No,No,,,
TSK-5181,WO-1048,MC-02-007,CELL-02,TECH-01,Pending,2026-08-21T09:02:00,,,,0,No,No,,,
TSK-5182,WO-1048,MC-02-008,CELL-02,TECH-04,Pending,2026-08-21T10:22:00,,,,0,No,No,,,
TSK-5183,WO-1049,MC-08-028,CELL-08,TECH-01,Pending,,,,,0,No,No,,,
TSK-5184,WO-1049,MC-08-029,CELL-08,TECH-04,Pending,,,,,0,No,No,,,
TSK-5185,WO-1049,MC-08-030,CELL-08,TECH-01,Pending,,,,,0,No,No,,,
TSK-5186,WO-1050,MC-04-013,CELL-04,TECH-06,Pending,,,,,0,No,No,,,
TSK-5187,WO-1050,MC-04-014,CELL-04,TECH-06,Pending,,,,,0,No,No,,,
TSK-5188,WO-1050,MC-04-015,CELL-04,TECH-06,Pending,,,,,0,No,No,,,
TSK-5189,WO-1050,MC-04-016,CELL-04,TECH-04,Pending,,,,,0,No,No,,,
TSK-5190,WO-1051,MC-06-021,CELL-06,TECH-06,Completed,2026-08-28T07:34:00,2026-08-28T08:26:00,52,CR-90984,1,No,No,TECH-06,2026-08-28,
TSK-5191,WO-1051,MC-06-022,CELL-06,TECH-02,Completed,2026-08-28T08:34:00,2026-08-28T09:59:00,85,CR-90990,0,No,No,TECH-02,2026-08-28,
TSK-5192,WO-1051,MC-06-023,CELL-06,TECH-01,In Progress,2026-08-28T09:19:00,,,,0,No,No,,,
TSK-5193,WO-1051,MC-06-024,CELL-06,TECH-04,Pending,2026-08-28T10:43:00,,,,0,No,No,,,
